"Source:","/media/marco/Daten/Repositories/modlab/Hardware/V3/Waveform_Generator/Waveform_Generator.kicad_sch"
"Date:","Mi 30 Nov 2022 22:10:12 CET"
"Tool:","Eeschema 6.0.9-8da3e8f707~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","104"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C201, C205, C210, C212, C217, C218, C219, C223, C224, C306, C307, C310, C311, C403, C404, C405, C406, C407, C408, C409, ","20","100n","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C202, C203, ","2","5n6","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C204, C410, ","2","4µ7","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C206, C207, C208, C209, ","4","470n","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C211, ","1","10µ Tantal","C_Polarized","Capacitor_Tantalum_SMD:CP_EIA-3216-12_Kemet-S","Polarized capacitor",""
"C213, ","1","22p","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C214, C215, C221, C222, C305, C308, C309, C312, ","8","1µ","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C216, ","1","10n","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C220, ","1","22µ Tantal","C_Polarized","Capacitor_Tantalum_SMD:CP_EIA-3216-12_Kemet-S","Polarized capacitor",""
"C225, C226, ","2","2µ2 Tantal","C_Polarized","Capacitor_Tantalum_SMD:CP_EIA-3216-12_Kemet-S","Polarized capacitor",""
"C301, C302, C303, C304, ","4","100µ","C_Polarized","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","Polarized capacitor",""
"C401, C402, ","2","20p","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"D201, ","1","LL4148","LL4148","Diode_SMD:D_MiniMELF","100V 0.15A standard switching diode, MiniMELF",""
"D301, ","1","SMAJ5,0A","D_TVS","Diode_SMD:D_SMA","Bidirectional transient-voltage-suppression diode",""
"D302, ","1","P6SMB26","D_TVS","Diode_SMD:D_SMA","Bidirectional transient-voltage-suppression diode",""
"D303, D304, ","2","P6SMB16","D_TVS","Diode_SMD:D_SMA","Bidirectional transient-voltage-suppression diode",""
"D401, ","1","CDSOT23-T24-Q","D_TVS_Dual_AAC","Package_TO_SOT_SMD:SOT-23","Bidirectional dual transient-voltage-suppression diode, center on pin 3",""
"J101, ","1","DIN41612_02x32_AC","DIN41612_02x32_AC","eigene:VG64_Euro","DIN41612 connector, double row (AC), 02x32, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J201, ","1","Wave_Out","Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J401, ","1","SWD","Conn_01x04","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J402, ","1","Address","Conn_02x02_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","Generic connector, double row, 02x02, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"K201, ","1","G6K-2","G6K-2","Relay_SMD:Relay_DPDT_Omron_G6K-2F","Miniature 2-pole relay, Single-side Stable",""
"L401, ","1","SRF3225TAC-101Y","L_Coupled_1243","eigene:SRF3225TAC","Coupled inductor",""
"Q201, Q401, Q402, ","3","BSS138","BSS138","Package_TO_SOT_SMD:SOT-23","50V Vds, 0.22A Id, N-Channel MOSFET, SOT-23",""
"R201, R203, ","2","1k3","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R202, R204, ","2","3k9","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R205, ","1","10","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R206, R207, R208, R209, ","4","22k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R210, R211, ","2","2k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R212, R213, R222, ","3","240","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R214, ","1","9k1","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R215, ","1","910","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R216, R217, R219, R220, ","4","1k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R218, ","1","200","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R221, ","1","100k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
